god.eternal	NKJV	Ex 3:14	1594	1594
god.gracious	NKJV	Ex 34:6	2503	2503
god.one	NKJV	Deu 6:4	5091	5091
meditation	NKJV	Deu 6:6-7	5093	5094
parenting	NKJV	Deu 6:6-7	5093	5094
teaching	NKJV	Deu 6:6-7	5093	5094
word	NKJV	Deu 6:6-7	5093	5094
god.faithful	NKJV	Deu 7:9	5121	5121
gods_will	NKJV	Deu 29:29	5709	5709
knowledge	NKJV	Deu 29:29	5709	5709
law	NKJV	Deu 29:29	5709	5709
mystery	NKJV	Deu 29:29	5709	5709
revelation	NKJV	Deu 29:29	5709	5709
secret	NKJV	Deu 29:29	5709	5709
god.holy	NKJV	Deu 32:4	5763	5763
blessing	NKJV	Josh 1:8	5860	5860
meditation	NKJV	Josh 1:8	5860	5860
success	NKJV	Josh 1:8	5860	5860
word	NKJV	Josh 1:8	5860	5860
courage	NKJV	Josh 1:9	5861	5861
fear	NKJV	Josh 1:9	5861	5861
gods_presence	NKJV	Josh 1:9	5861	5861
protection	NKJV	Josh 1:9	5861	5861
strength	NKJV	Josh 1:9	5861	5861
strength	NKJV	1 Sam 30:6	7985	7985
god.omniprensence	NKJV	1 Ki 8:27	9013	9013
god.free	NKJV	1 Chr 29:11-13	11176	11178
giving	NKJV	1 Chr 29:14	11179	11179
gods_presence	NKJV	2 Chr 16:9	11519	11519
loving_god	NKJV	2 Chr 16:9	11519	11519
strength	NKJV	2 Chr 16:9	11519	11519
support	NKJV	2 Chr 16:9	11519	11519
bible_study	NKJV	Ez 7:10	12184	12184
discipleship	NKJV	Ez 7:10	12184	12184
godly_men	NKJV	Ez 7:10	12184	12184
leadership	NKJV	Ez 7:10	12184	12184
obedience	NKJV	Ez 7:10	12184	12184
teaching	NKJV	Ez 7:10	12184	12184
word	NKJV	Ez 7:10	12184	12184
attitude	NKJV	Neh 8:10	12504	12504
grief	NKJV	Neh 8:10	12504	12504
joy	NKJV	Neh 8:10	12504	12504
sadness	NKJV	Neh 8:10	12504	12504
strength	NKJV	Neh 8:10	12504	12504
fear	NKJV	Est 4:14	12777	12777
leadership	NKJV	Est 4:14	12777	12777
man_pleasing	NKJV	Est 4:14	12777	12777
opportunity	NKJV	Est 4:14	12777	12777
sovereignty	NKJV	Est 4:14	12777	12777
suffering	NKJV	Job 2:10	12902	12902
trials	NKJV	Job 5:7	12959	12959
lust	NKJV	Job 31:1	13590	13590
purity	NKJV	Job 31:1	13590	13590
knowledge	NKJV	Job 38:2	13796	13796
speaking	NKJV	Job 38:2	13796	13796
god.power	NKJV	Job 42:2	13925	13925
god.sovereignty	NKJV	Job 42:2	13925	13925
blessing	NKJV	Ps 1:1-3	13941	13943
companions	NKJV	Ps 1:1-3	13941	13943
counsel	NKJV	Ps 1:1-3	13941	13943
evil	NKJV	Ps 1:1-3	13941	13943
meditation	NKJV	Ps 1:1-3	13941	13943
success	NKJV	Ps 1:1-3	13941	13943
word	NKJV	Ps 1:1-3	13941	13943
sleep	NKJV	Ps 3:5	13963	13963
peace	NKJV	Ps 4:8	13974	13974
protection	NKJV	Ps 4:8	13974	13974
sleep	NKJV	Ps 4:8	13974	13974
prayer	NKJV	Ps 5:3	13977	13977
blessing	NKJV	Ps 5:11-12	13985	13986
favor	NKJV	Ps 5:11-12	13985	13986
joy	NKJV	Ps 5:11-12	13985	13986
protection	NKJV	Ps 5:11-12	13985	13986
refuge	NKJV	Ps 5:11-12	13985	13986
the_righteous	NKJV	Ps 5:11-12	13985	13986
joy	NKJV	Ps 16:11	14104	14104
xn_walk	NKJV	Ps 16:11	14104	14104
joy	NKJV	Ps 19:7-9	14176	14178
righteousness	NKJV	Ps 19:7-9	14176	14178
wisdom	NKJV	Ps 19:7-9	14176	14178
word	NKJV	Ps 19:7-9	14176	14178
god	NKJV	Ps 19:14	14183	14183
loving_god	NKJV	Ps 19:14	14183	14183
mindset	NKJV	Ps 19:14	14183	14183
purity	NKJV	Ps 19:14	14183	14183
thoughts	NKJV	Ps 19:14	14183	14183
contentment	NKJV	Ps 23:1-3	14237	14239
provision	NKJV	Ps 23:1-3	14237	14239
xn_walk	NKJV	Ps 23:1-3	14237	14239
guidance	NKJV	Ps 23:3	14239	14239
righteousness	NKJV	Ps 23:3	14239	14239
sovereignty	NKJV	Ps 23:3	14239	14239
fear	NKJV	Ps 23:4	14240	14240
protection	NKJV	Ps 23:4	14240	14240
strength	NKJV	Ps 23:4	14240	14240
blessing	NKJV	Ps 23:5-6	14241	14242
enemies	NKJV	Ps 23:5-6	14241	14242
heaven	NKJV	Ps 23:5-6	14241	14242
mercy	NKJV	Ps 23:5-6	14241	14242
approach	NKJV	Ps 24:3-6	14245	14248
